SINGLE_LINE_ADDRESS,SUB_BUILDING,BUILDING_NAME,BUILDING_NUMBER,STREET_NAME,LOCALITY,TOWN_NAME
"FLAT 6, 53 OLD TIVERTON ROAD, EXETER, EX4 6NJ",FLAT 6,,53,OLD TIVERTON ROAD,,EXETER
"FLAT 7, 53 OLD TIVERTON ROAD, EXETER, EX4 6NJ",FLAT 7,,53,OLD TIVERTON ROAD,,EXETER
"FLAT 8, 53 OLD TIVERTON ROAD, EXETER, EX4 6NJ",FLAT 8,,53,OLD TIVERTON ROAD,,EXETER
"84A UNION ROAD, EXETER, EX4 6HT",,,84A,UNION ROAD,,EXETER
"84B UNION ROAD, EXETER, EX4 6HT",,,84B,UNION ROAD,,EXETER
"FLAT 4, 100 UNION ROAD, EXETER, EX4 6HT",FLAT 4,,100,UNION ROAD,,EXETER
"THE COACH HOUSE, 42 UNION ROAD, EXETER, EX4 6HU",THE COACH HOUSE,,42,UNION ROAD,,EXETER
"91A SIDWELL STREET, EXETER, EX4 6PH",,,91A,SIDWELL STREET,,EXETER
"25 CULVERLAND CLOSE, EXETER, EX4 6HR",,,25,CULVERLAND CLOSE,,EXETER
"FLAT 1, 2 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 1,,2,COLLEGE ROAD,,EXETER
"FLAT 2, 2 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 2,,2,COLLEGE ROAD,,EXETER
"FLAT 3, 2 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 3,,2,COLLEGE ROAD,,EXETER
"FLAT 4, 2 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 4,,2,COLLEGE ROAD,,EXETER
"FLAT 5, 2 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 5,,2,COLLEGE ROAD,,EXETER
"35A BLACKBOY ROAD, EXETER, EX4 6SZ",,,35A,BLACKBOY ROAD,,EXETER
"35B BLACKBOY ROAD, EXETER, EX4 6SZ",,,35B,BLACKBOY ROAD,,EXETER
"ANNEXE, 49 WONFORD ROAD, EXETER, EX2 4UD",ANNEXE,,49,WONFORD ROAD,,EXETER
"208A TOPSHAM ROAD, EXETER, EX2 6AA",,,208A,TOPSHAM ROAD,,EXETER
"FLAT 1, 19 VICTORIA PARK ROAD, EXETER, EX2 4NT",FLAT 1,,19,VICTORIA PARK ROAD,,EXETER
"FLAT 1, 109 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 1,,109,MOUNT PLEASANT ROAD,,EXETER
"90B SIDWELL STREET, EXETER, EX4 6PH",,,90B,SIDWELL STREET,,EXETER
"91C SIDWELL STREET, EXETER, EX4 6PH",,,91C,SIDWELL STREET,,EXETER
"1 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,1,VEITCH CLOSE,ST LEONARDS,EXETER
"2 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,2,VEITCH CLOSE,ST LEONARDS,EXETER
"3 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,3,VEITCH CLOSE,ST LEONARDS,EXETER
"4 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,4,VEITCH CLOSE,ST LEONARDS,EXETER
"5 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,5,VEITCH CLOSE,ST LEONARDS,EXETER
"6 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,6,VEITCH CLOSE,ST LEONARDS,EXETER
"7 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,7,VEITCH CLOSE,ST LEONARDS,EXETER
"8 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,8,VEITCH CLOSE,ST LEONARDS,EXETER
"9 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,9,VEITCH CLOSE,ST LEONARDS,EXETER
"10 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,10,VEITCH CLOSE,ST LEONARDS,EXETER
"11 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,11,VEITCH CLOSE,ST LEONARDS,EXETER
"12 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,12,VEITCH CLOSE,ST LEONARDS,EXETER
"14 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,14,VEITCH CLOSE,ST LEONARDS,EXETER
"15 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,15,VEITCH CLOSE,ST LEONARDS,EXETER
"16 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,16,VEITCH CLOSE,ST LEONARDS,EXETER
"17 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,17,VEITCH CLOSE,ST LEONARDS,EXETER
"18 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,18,VEITCH CLOSE,ST LEONARDS,EXETER
"19 VEITCH CLOSE, ST LEONARDS, EXETER, EX2 4AF",,,19,VEITCH CLOSE,ST LEONARDS,EXETER
"FLAT 6, 94 SIDWELL STREET, EXETER, EX4 6PH",FLAT 6,,94,SIDWELL STREET,,EXETER
"FLAT 1, 28 OLD TIVERTON ROAD, EXETER, EX4 6LG",FLAT 1,,28,OLD TIVERTON ROAD,,EXETER
"FLAT 2, 28 OLD TIVERTON ROAD, EXETER, EX4 6LG",FLAT 2,,28,OLD TIVERTON ROAD,,EXETER
"FLAT 3, 28 OLD TIVERTON ROAD, EXETER, EX4 6LG",FLAT 3,,28,OLD TIVERTON ROAD,,EXETER
"FLAT 4, 28 OLD TIVERTON ROAD, EXETER, EX4 6LG",FLAT 4,,28,OLD TIVERTON ROAD,,EXETER
"38A SYLVAN ROAD, EXETER, EX4 6EY",,,38A,SYLVAN ROAD,,EXETER
"THE COTTAGE, 42 PROSPECT PARK, EXETER, EX4 6NA",THE COTTAGE,,42,PROSPECT PARK,,EXETER
"4 SALISBURY ROAD, EXETER, EX4 6LU",,,4,SALISBURY ROAD,,EXETER
"FLAT 1, 23 VICTORIA PARK ROAD, EXETER, EX2 4NT",FLAT 1,,23,VICTORIA PARK ROAD,,EXETER
"FLAT, 82 UNION ROAD, EXETER, EX4 6HU",FLAT,,82,UNION ROAD,,EXETER
"CLIFTON HOUSE, 26 ALBERT STREET, EXETER, EX1 2BH",,,26,ALBERT STREET,,EXETER
"89A SIDWELL STREET, EXETER, EX4 6PH",,,89A,SIDWELL STREET,,EXETER
"THE COACH HOUSE, 42 PROSPECT PARK, EXETER, EX4 6NA",THE COACH HOUSE,,42,PROSPECT PARK,,EXETER
"THE STUDIO, 4 CLIFTON ROAD, EXETER, EX1 2BR",THE STUDIO,,4,CLIFTON ROAD,,EXETER
"THE OLD WORKSHOP, 4 CLIFTON ROAD, EXETER, EX1 2BR",THE OLD WORKSHOP,,4,CLIFTON ROAD,,EXETER
"8 LYNDHURST ROAD, EXETER, EX2 4PA",,,8,LYNDHURST ROAD,,EXETER
"FLAT SECOND FLOOR, 21 RALEIGH ROAD, EXETER, EX1 1TQ",FLAT SECOND FLOOR,,21,RALEIGH ROAD,,EXETER
"FLAT 4, 94 SIDWELL STREET, EXETER, EX4 6PH",FLAT 4,,94,SIDWELL STREET,,EXETER
"FLAT 3, 23 HEAVITREE ROAD, EXETER, EX1 2LG",FLAT 3,,23,HEAVITREE ROAD,,EXETER
"FLAT 4, 23 HEAVITREE ROAD, EXETER, EX1 2LG",FLAT 4,,23,HEAVITREE ROAD,,EXETER
"FLAT 5, 23 HEAVITREE ROAD, EXETER, EX1 2LG",FLAT 5,,23,HEAVITREE ROAD,,EXETER
"FLAT 6, 23 HEAVITREE ROAD, EXETER, EX1 2LG",FLAT 6,,23,HEAVITREE ROAD,,EXETER
"1 RUSSELL STREET, EXETER, EX1 2FF",,,1,RUSSELL STREET,,EXETER
"3 RUSSELL STREET, EXETER, EX1 2FF",,,3,RUSSELL STREET,,EXETER
"1 ELMSIDE, EXETER, EX4 6LR",,,1,ELMSIDE,,EXETER
"2 ELMSIDE, EXETER, EX4 6LR",,,2,ELMSIDE,,EXETER
"27 CULVERLAND CLOSE, EXETER, EX4 6HR",,,27,CULVERLAND CLOSE,,EXETER
"FLAT 2B, 54 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 2B,,54,OLD TIVERTON ROAD,,EXETER
"FLAT 1, 51 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 1,,51,OLD TIVERTON ROAD,,EXETER
"FLAT 2, 51 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 2,,51,OLD TIVERTON ROAD,,EXETER
"FLAT 3, 51 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 3,,51,OLD TIVERTON ROAD,,EXETER
"FLAT 4, 51 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 4,,51,OLD TIVERTON ROAD,,EXETER
"FLAT 5, 51 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 5,,51,OLD TIVERTON ROAD,,EXETER
"FLAT 6, 51 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 6,,51,OLD TIVERTON ROAD,,EXETER
"STUDIO, 57 UNION ROAD, EXETER, EX4 6HU",STUDIO,,57,UNION ROAD,,EXETER
"FLAT 3, 94 SIDWELL STREET, EXETER, EX4 6PH",FLAT 3,,94,SIDWELL STREET,,EXETER
"FLAT 5, 94 SIDWELL STREET, EXETER, EX4 6PH",FLAT 5,,94,SIDWELL STREET,,EXETER
"FLAT 1, 14 CLIFTON ROAD, EXETER, EX1 2BR",FLAT 1,,14,CLIFTON ROAD,,EXETER
"TOP FLOOR FLAT, 2 ST LEONARDS ROAD, EXETER, EX2 4LA",TOP FLOOR FLAT,,2,ST LEONARDS ROAD,,EXETER
"THE MEWS HOUSE, 1 BARING CRESCENT, EXETER, EX1 1TL",THE MEWS HOUSE,,1,BARING CRESCENT,,EXETER
"FLAT 2, 25 VICTORIA PARK ROAD, EXETER, EX2 4NT",FLAT 2,,25,VICTORIA PARK ROAD,,EXETER
"FLAT 3, 25 VICTORIA PARK ROAD, EXETER, EX2 4NT",FLAT 3,,25,VICTORIA PARK ROAD,,EXETER
"FLAT 4, 25 VICTORIA PARK ROAD, EXETER, EX2 4NT",FLAT 4,,25,VICTORIA PARK ROAD,,EXETER
"FLAT 5, 25 VICTORIA PARK ROAD, EXETER, EX2 4NT",FLAT 5,,25,VICTORIA PARK ROAD,,EXETER
"1 MAGDALEN PLACE, EXETER, EX2 4AG",,,1,MAGDALEN PLACE,,EXETER
"2 MAGDALEN PLACE, EXETER, EX2 4AG",,,2,MAGDALEN PLACE,,EXETER
"3 MAGDALEN PLACE, EXETER, EX2 4AG",,,3,MAGDALEN PLACE,,EXETER
"4 MAGDALEN PLACE, EXETER, EX2 4AG",,,4,MAGDALEN PLACE,,EXETER
"5 MAGDALEN PLACE, EXETER, EX2 4AG",,,5,MAGDALEN PLACE,,EXETER
"6 MAGDALEN PLACE, EXETER, EX2 4AG",,,6,MAGDALEN PLACE,,EXETER
"33 CULVERLAND ROAD, EXETER, EX4 6JJ",,,33,CULVERLAND ROAD,,EXETER
"35 CULVERLAND ROAD, EXETER, EX4 6JJ",,,35,CULVERLAND ROAD,,EXETER
"37 CULVERLAND ROAD, EXETER, EX4 6JJ",,,37,CULVERLAND ROAD,,EXETER
"39 CULVERLAND ROAD, EXETER, EX4 6JJ",,,39,CULVERLAND ROAD,,EXETER
"41 CULVERLAND ROAD, EXETER, EX4 6JJ",,,41,CULVERLAND ROAD,,EXETER
"43 CULVERLAND ROAD, EXETER, EX4 6JJ",,,43,CULVERLAND ROAD,,EXETER
"45 CULVERLAND ROAD, EXETER, EX4 6JJ",,,45,CULVERLAND ROAD,,EXETER
"47 CULVERLAND ROAD, EXETER, EX4 6JJ",,,47,CULVERLAND ROAD,,EXETER
"49 CULVERLAND ROAD, EXETER, EX4 6JJ",,,49,CULVERLAND ROAD,,EXETER
"51 CULVERLAND ROAD, EXETER, EX4 6JJ",,,51,CULVERLAND ROAD,,EXETER
"53 CULVERLAND ROAD, EXETER, EX4 6JJ",,,53,CULVERLAND ROAD,,EXETER
"57 CULVERLAND ROAD, EXETER, EX4 6JJ",,,57,CULVERLAND ROAD,,EXETER
"59 CULVERLAND ROAD, EXETER, EX4 6JJ",,,59,CULVERLAND ROAD,,EXETER
"61 CULVERLAND ROAD, EXETER, EX4 6JJ",,,61,CULVERLAND ROAD,,EXETER
"63 CULVERLAND ROAD, EXETER, EX4 6JJ",,,63,CULVERLAND ROAD,,EXETER
"65 CULVERLAND ROAD, EXETER, EX4 6JJ",,,65,CULVERLAND ROAD,,EXETER
"67 CULVERLAND ROAD, EXETER, EX4 6JJ",,,67,CULVERLAND ROAD,,EXETER
"69 CULVERLAND ROAD, EXETER, EX4 6JJ",,,69,CULVERLAND ROAD,,EXETER
"71 CULVERLAND ROAD, EXETER, EX4 6JJ",,,71,CULVERLAND ROAD,,EXETER
"73 CULVERLAND ROAD, EXETER, EX4 6JJ",,,73,CULVERLAND ROAD,,EXETER
"75 CULVERLAND ROAD, EXETER, EX4 6JJ",,,75,CULVERLAND ROAD,,EXETER
"77 CULVERLAND ROAD, EXETER, EX4 6JJ",,,77,CULVERLAND ROAD,,EXETER
"79 CULVERLAND ROAD, EXETER, EX4 6JJ",,,79,CULVERLAND ROAD,,EXETER
"BOTTOM FLAT, 45A CLIFTON ROAD, EXETER, EX1 2BJ",BOTTOM FLAT,,45A,CLIFTON ROAD,,EXETER
"TOP FLAT, 45A CLIFTON ROAD, EXETER, EX1 2BJ",TOP FLAT,,45A,CLIFTON ROAD,,EXETER
"ROOM 1, 3 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 1,,3,COLLEGE ROAD,,EXETER
"ROOM 3, 3 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 3,,3,COLLEGE ROAD,,EXETER
"ROOM 4, 3 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 4,,3,COLLEGE ROAD,,EXETER
"ROOM 5, 3 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 5,,3,COLLEGE ROAD,,EXETER
"ROOM 6, 3 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 6,,3,COLLEGE ROAD,,EXETER
"ROOM 7, 3 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 7,,3,COLLEGE ROAD,,EXETER
"ROOM 8, 3 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 8,,3,COLLEGE ROAD,,EXETER
"ROOM 1, 4 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 1,,4,COLLEGE ROAD,,EXETER
"ROOM 3, 4 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 3,,4,COLLEGE ROAD,,EXETER
"ROOM 4, 4 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 4,,4,COLLEGE ROAD,,EXETER
"ROOM 5, 4 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 5,,4,COLLEGE ROAD,,EXETER
"ROOM 7, 4 COLLEGE ROAD, EXETER, EX1 1TE",ROOM 7,,4,COLLEGE ROAD,,EXETER
"FLAT 1, 5 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 1,,5,COLLEGE ROAD,,EXETER
"FLAT 2, 5 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 2,,5,COLLEGE ROAD,,EXETER
"FLAT 3, 5 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 3,,5,COLLEGE ROAD,,EXETER
"FLAT 4, 5 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 4,,5,COLLEGE ROAD,,EXETER
"FLAT 5, 5 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 5,,5,COLLEGE ROAD,,EXETER
"FLAT 6, 5 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 6,,5,COLLEGE ROAD,,EXETER
"FLAT 7, 5 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 7,,5,COLLEGE ROAD,,EXETER
"FLAT 8, 5 COLLEGE ROAD, EXETER, EX1 1TE",FLAT 8,,5,COLLEGE ROAD,,EXETER
"FLAT 1, 8 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 1,,8,MOUNT PLEASANT ROAD,,EXETER
"FLAT 2, 8 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 2,,8,MOUNT PLEASANT ROAD,,EXETER
"FLAT 3, 8 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 3,,8,MOUNT PLEASANT ROAD,,EXETER
"FLAT 4, 8 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 4,,8,MOUNT PLEASANT ROAD,,EXETER
"FLAT 5, 8 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 5,,8,MOUNT PLEASANT ROAD,,EXETER
"FLAT 6, 8 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 6,,8,MOUNT PLEASANT ROAD,,EXETER
"FLAT 7, 8 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 7,,8,MOUNT PLEASANT ROAD,,EXETER
"FLAT 1, 18 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 1,,18,MOUNT PLEASANT ROAD,,EXETER
"FLAT 2, 18 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 2,,18,MOUNT PLEASANT ROAD,,EXETER
"FLAT 3, 18 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 3,,18,MOUNT PLEASANT ROAD,,EXETER
"FLAT 4, 18 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 4,,18,MOUNT PLEASANT ROAD,,EXETER
"FLAT 1, 26 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 1,,26,MOUNT PLEASANT ROAD,,EXETER
"FLAT 2, 26 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 2,,26,MOUNT PLEASANT ROAD,,EXETER
"FLAT 3, 26 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 3,,26,MOUNT PLEASANT ROAD,,EXETER
"FLAT 4, 26 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 4,,26,MOUNT PLEASANT ROAD,,EXETER
"GROUND FLOOR FLAT, 39 BLACKBOY ROAD, EXETER, EX4 6SZ",GROUND FLOOR FLAT,,39,BLACKBOY ROAD,,EXETER
"MIDDLE FLOOR FLAT, 39 BLACKBOY ROAD, EXETER, EX4 6SZ",MIDDLE FLOOR FLAT,,39,BLACKBOY ROAD,,EXETER
"TOP FLOOR FLAT, 39 BLACKBOY ROAD, EXETER, EX4 6SZ",TOP FLOOR FLAT,,39,BLACKBOY ROAD,,EXETER
"FLAT 1, 107 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 1,,107,MOUNT PLEASANT ROAD,,EXETER
"FLAT 1A, 107 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 1A,,107,MOUNT PLEASANT ROAD,,EXETER
"FLAT 2, 107 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 2,,107,MOUNT PLEASANT ROAD,,EXETER
"FLAT 3, 107 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 3,,107,MOUNT PLEASANT ROAD,,EXETER
"FLAT 4, 107 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 4,,107,MOUNT PLEASANT ROAD,,EXETER
"FLAT 5, 107 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 5,,107,MOUNT PLEASANT ROAD,,EXETER
"FLAT 6, 107 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 6,,107,MOUNT PLEASANT ROAD,,EXETER
"FLAT 7, 107 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 7,,107,MOUNT PLEASANT ROAD,,EXETER
"FLAT 1, 108 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 1,,108,MOUNT PLEASANT ROAD,,EXETER
"FLAT 2, 108 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 2,,108,MOUNT PLEASANT ROAD,,EXETER
"FLAT 3, 108 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 3,,108,MOUNT PLEASANT ROAD,,EXETER
"FLAT 4, 108 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 4,,108,MOUNT PLEASANT ROAD,,EXETER
"FLAT 5, 108 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 5,,108,MOUNT PLEASANT ROAD,,EXETER
"FLAT 6, 108 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 6,,108,MOUNT PLEASANT ROAD,,EXETER
"FLAT 7, 108 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 7,,108,MOUNT PLEASANT ROAD,,EXETER
"FLAT 8, 108 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 8,,108,MOUNT PLEASANT ROAD,,EXETER
"FLAT 1, 110 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 1,,110,MOUNT PLEASANT ROAD,,EXETER
"FLAT 2, 110 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 2,,110,MOUNT PLEASANT ROAD,,EXETER
"FLAT 3, 110 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 3,,110,MOUNT PLEASANT ROAD,,EXETER
"FLAT 4, 110 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 4,,110,MOUNT PLEASANT ROAD,,EXETER
"FLAT 5, 110 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 5,,110,MOUNT PLEASANT ROAD,,EXETER
"GROUND FLOOR FLAT, 110 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",GROUND FLOOR FLAT,,110,MOUNT PLEASANT ROAD,,EXETER
"ROOM 1, 65 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 1,,65,OLD TIVERTON ROAD,,EXETER
"ROOM 2, 65 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 2,,65,OLD TIVERTON ROAD,,EXETER
"ROOM 3, 65 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 3,,65,OLD TIVERTON ROAD,,EXETER
"ROOM 4, 65 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 4,,65,OLD TIVERTON ROAD,,EXETER
"ROOM 5, 65 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 5,,65,OLD TIVERTON ROAD,,EXETER
"ROOM 6, 65 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 6,,65,OLD TIVERTON ROAD,,EXETER
"ROOM 7, 65 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 7,,65,OLD TIVERTON ROAD,,EXETER
"GROUND FLOOR FLAT, 65 OLD TIVERTON ROAD, EXETER, EX4 6NG",GROUND FLOOR FLAT,,65,OLD TIVERTON ROAD,,EXETER
"FLAT A, 68 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT A,,68,OLD TIVERTON ROAD,,EXETER
"FLAT B, 68 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT B,,68,OLD TIVERTON ROAD,,EXETER
"FLAT C, 68 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT C,,68,OLD TIVERTON ROAD,,EXETER
"FLAT D, 68 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT D,,68,OLD TIVERTON ROAD,,EXETER
"FLAT E, 68 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT E,,68,OLD TIVERTON ROAD,,EXETER
"FLAT F, 68 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT F,,68,OLD TIVERTON ROAD,,EXETER
"FLAT G, 68 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT G,,68,OLD TIVERTON ROAD,,EXETER
"FLAT H, 68 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT H,,68,OLD TIVERTON ROAD,,EXETER
"FLAT 1A, 109 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 1A,,109,MOUNT PLEASANT ROAD,,EXETER
"FLAT 3, 109 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 3,,109,MOUNT PLEASANT ROAD,,EXETER
"FLAT 4, 109 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 4,,109,MOUNT PLEASANT ROAD,,EXETER
"FLAT 6, 109 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 6,,109,MOUNT PLEASANT ROAD,,EXETER
"FLAT 7, 109 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 7,,109,MOUNT PLEASANT ROAD,,EXETER
"FLAT 1, 50 MAGDALEN ROAD, EXETER, EX2 4TE",FLAT 1,,50,MAGDALEN ROAD,,EXETER
"FLAT 2, 50 MAGDALEN ROAD, EXETER, EX2 4TE",FLAT 2,,50,MAGDALEN ROAD,,EXETER
"FLAT 3, 50 MAGDALEN ROAD, EXETER, EX2 4TE",FLAT 3,,50,MAGDALEN ROAD,,EXETER
"FLAT 4, 50 MAGDALEN ROAD, EXETER, EX2 4TE",FLAT 4,,50,MAGDALEN ROAD,,EXETER
"FLAT 5, 50 MAGDALEN ROAD, EXETER, EX2 4TE",FLAT 5,,50,MAGDALEN ROAD,,EXETER
"FLAT 6, 50 MAGDALEN ROAD, EXETER, EX2 4TE",FLAT 6,,50,MAGDALEN ROAD,,EXETER
"ROOM 3, 64 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 3,,64,OLD TIVERTON ROAD,,EXETER
"ROOM 4, 64 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 4,,64,OLD TIVERTON ROAD,,EXETER
"ROOM 5, 64 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 5,,64,OLD TIVERTON ROAD,,EXETER
"ROOM 6, 64 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 6,,64,OLD TIVERTON ROAD,,EXETER
"ROOM 7, 64 OLD TIVERTON ROAD, EXETER, EX4 6NG",ROOM 7,,64,OLD TIVERTON ROAD,,EXETER
"FLAT 2, 50 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 2,,50,OLD TIVERTON ROAD,,EXETER
"FLAT 3, 50 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 3,,50,OLD TIVERTON ROAD,,EXETER
"FLAT 5, 50 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 5,,50,OLD TIVERTON ROAD,,EXETER
"FLAT 6, 50 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 6,,50,OLD TIVERTON ROAD,,EXETER
"ROOM 1, 16 HERSCHELL ROAD, EXETER, EX4 6LX",ROOM 1,,16,HERSCHELL ROAD,,EXETER
"ROOM 2, 16 HERSCHELL ROAD, EXETER, EX4 6LX",ROOM 2,,16,HERSCHELL ROAD,,EXETER
"ROOM 3, 16 HERSCHELL ROAD, EXETER, EX4 6LX",ROOM 3,,16,HERSCHELL ROAD,,EXETER
"ROOM 4, 16 HERSCHELL ROAD, EXETER, EX4 6LX",ROOM 4,,16,HERSCHELL ROAD,,EXETER
"ROOM 5, 16 HERSCHELL ROAD, EXETER, EX4 6LX",ROOM 5,,16,HERSCHELL ROAD,,EXETER
"ROOM 6, 16 HERSCHELL ROAD, EXETER, EX4 6LX",ROOM 6,,16,HERSCHELL ROAD,,EXETER
"2 VEYSEY CLOSE, EXETER, EX2 6AS",,,2,VEYSEY CLOSE,,EXETER
"4 VEYSEY CLOSE, EXETER, EX2 6AS",,,4,VEYSEY CLOSE,,EXETER
"6 VEYSEY CLOSE, EXETER, EX2 6AS",,,6,VEYSEY CLOSE,,EXETER
